,index,Unnamed: 0,Feature name,Coefficients,Original feature name,Score-Calc,Score-Preliminary,Final
0,0,0.0,Intercept,-0.0873383908772807,Intercept,426.31463333323256,426.0,426.0
1,1,1.0,grade:A,1.0948580542805135,grade,66.90982819119243,67.0,67.0
2,2,2.0,grade:B,0.8567505430472416,grade,52.35841432949308,52.0,52.0
3,3,3.0,grade:C,0.660675293314521,grade,40.37570915518363,40.0,40.0
4,4,4.0,grade:D,0.4780087940789393,grade,29.21245010771636,29.0,29.0
5,5,5.0,grade:E,0.3012634431671242,grade,18.41104894263745,18.0,18.0
6,6,6.0,grade:F,0.1196565040910651,grade,7.312542570601223,7.0,7.0
7,7,7.0,home_ownership:OWN,0.0753994719556902,home_ownership,4.607871946996056,5.0,5.0
8,8,8.0,home_ownership:MORTGAGE,0.1567421168920446,home_ownership,9.57894776456883,10.0,10.0
9,9,9.0,addr_state:NM_VA,0.0700088457372198,addr_state,4.278435749572439,4.0,4.0
10,10,10.0,addr_state:NY,0.0808679488051023,addr_state,4.9420658135262014,5.0,5.0
11,11,11.0,addr_state:OK_TN_MO_LA_MD_NC,0.0664748514177273,addr_state,4.0624635038357235,4.0,4.0
12,12,12.0,addr_state:CA,0.1027630673514488,addr_state,6.280137552080985,6.0,6.0
13,13,13.0,addr_state:UT_KY_AZ_NJ,0.0948952177595436,addr_state,5.799311327740454,6.0,6.0
14,14,14.0,addr_state:AR_MI_PA_OH_MN,0.1229663328745671,addr_state,7.514815435453932,8.0,8.0
15,15,15.0,addr_state:RI_MA_DE_SD_IN,0.1062158143832642,addr_state,6.4911445495481,6.0,6.0
16,16,16.0,addr_state:GA_WA_OR,0.1958373528963233,addr_state,11.968166635374343,12.0,12.0
17,17,17.0,addr_state:WI_MT,0.2126687238735104,addr_state,12.996778642111494,13.0,13.0
18,18,18.0,addr_state:TX,0.2612338913941757,addr_state,15.964731430310687,16.0,16.0
19,19,19.0,addr_state:IL_CT,0.2738388546204197,addr_state,16.735055876047646,17.0,17.0
20,20,20.0,addr_state:KS_SC_CO_VT_AK_MS,0.3254570500205911,addr_state,19.88958770988844,20.0,20.0
21,21,21.0,addr_state:WV_NH_WY_DC_ME_ID,0.5424267347918265,addr_state,33.14921006365617,33.0,33.0
22,22,22.0,verification_status:Not Verified,0.0587203105530313,verification_status,3.5885618917227666,4.0,4.0
23,23,23.0,verification_status:Source Verified,-0.0115804838613654,verification_status,-0.7077156554728251,-1.0,-1.0
24,24,24.0,purpose:credit_card,0.2821693532470175,purpose,17.244155872776368,17.0,17.0
25,25,25.0,purpose:debt_consolidation,0.1849819906222727,purpose,11.304765181761082,11.0,11.0
26,26,26.0,purpose:oth__med__vacation,0.1929673703667918,purpose,11.79277400140512,12.0,12.0
27,27,27.0,purpose:major_purch__car__home_impr,0.2615919194487703,purpose,15.986611522918944,16.0,16.0
